Presidential Year,Presidential Party,Economically Significant Rules Published by UST
1981,Republican,0
1982,Republican,0
1983,Republican,0
1984,Republican,0
1985,Republican,1
1986,Republican,0
1987,Republican,0
1988,Republican,0
1989,Republican,0
1990,Republican,0
1991,Republican,0
1992,Republican,0
1993,Democratic,1
1994,Democratic,0
1995,Democratic,0
1996,Democratic,0
1997,Democratic,2
1998,Democratic,1
1999,Democratic,0
2000,Democratic,0
2001,Republican,0
2002,Republican,0
2003,Republican,1
2004,Republican,0
2005,Republican,0
2006,Republican,0
2007,Republican,2
2008,Republican,1
2009,Democratic,1
2010,Democratic,2
2011,Democratic,1
2012,Democratic,1
2013,Democratic,1
2014,Democratic,1
2015,Democratic,2
2016,Democratic,2
2017,Republican,1
2018,Republican,1
2019,Republican,10
2020,Republican,16
2021,Democratic,7
2022,Democratic,3
2023,Democratic,2