year,title,vol,pages
2021,1,1,176
2021,2,1,752
2021,3,1,788
2021,4,1,145
2021,5,1,958
2021,5,2,745
2021,5,3,1232
2021,6,1,398
2021,7,1,654
2021,7,2,602
2021,7,3,494
2021,7,4,1140
2021,7,5,494
2021,7,6,674
2021,7,7,664
2021,7,8,746
2021,7,9,283
2021,7,10,1272
2021,7,11,841
2021,7,12,626
2021,7,13,282
2021,7,14,330
2021,7,15,1159
2021,8,1,1276
2021,9,1,1084
2021,9,2,769
2021,10,1,1116
2021,10,2,930
2021,10,3,1285
2021,10,4,1131
2021,11,1,550
2021,12,1,1181
2021,12,2,690
2021,12,3,1025
2021,12,4,808
2021,12,5,744
2021,12,6,553
2021,12,7,1204
2021,12,8,768
2021,12,9,1333
2021,12,10,986
2021,13,1,949
2021,14,1,939
2021,14,2,994
2021,14,3,953
2021,14,4,1008
2021,14,5,429
2021,15,1,450
2021,15,2,1286
2021,15,3,598
2021,16,1,760
2021,16,2,975
2021,17,1,986
2021,17,2,588
2021,17,3,974
2021,17,4,852
2021,17,5,705
2021,18,1,1312
2021,18,2,377
2021,19,1,1127
2021,19,2,1019
2021,19,3,420
2021,20,1,688
2021,20,2,1393
2021,20,3,680
2021,20,4,771
2021,21,1,597
2021,21,2,781
2021,21,3,652
2021,21,4,282
2021,21,5,402
2021,21,6,670
2021,21,7,210
2021,21,8,1005
2021,21,9,357
2021,22,1,1143
2021,22,2,586
2021,23,1,816
2021,24,1,813
2021,24,2,718
2021,24,3,380
2021,24,4,866
2021,24,5,359
2021,25,1,1011
2021,25,2,502
2021,26,1,741
2021,26,2,630
2021,26,3,937
2021,26,4,1167
2021,26,5,863
2021,26,6,766
2021,26,7,720
2021,26,8,950
2021,26,9,644
2021,26,10,962
2021,26,11,1060
2021,26,12,954
2021,26,13,1121
2021,26,14,1206
2021,26,15,921
2021,26,16,814
2021,26,17,538
2021,26,18,358
2021,26,19,770
2021,26,20,1071
2021,26,21,107
2021,26,22,207
2021,27,1,1037
2021,27,2,454
2021,27,3,232
2021,28,1,1235
2021,28,2,896
2021,29,1,771
2021,29,2,299
2021,29,3,955
2021,29,4,525
2021,29,5,999
2021,29,6,732
2021,29,7,409
2021,29,8,791
2021,29,9,1343
2021,30,1,806
2021,30,2,671
2021,30,3,1012
2021,31,1,562
2021,31,2,604
2021,31,3,1100
2021,32,1,964
2021,32,2,1065
2021,32,3,372
2021,32,4,175
2021,32,5,330
2021,32,6,586
2021,33,1,744
2021,33,2,1189
2021,33,3,751
2021,34,1,615
2021,34,2,549
2021,34,3,702
2021,34,4,500
2021,36,1,540
2021,36,2,562
2021,36,3,823
2021,37,1,1001
2021,38,1,969
2021,38,2,1137
2021,39,1,584
2021,40,1,840
2021,40,2,726
2021,40,3,1369
2021,40,4,877
2021,40,5,662
2021,40,6,446
2021,40,7,688
2021,40,8,878
2021,40,9,874
2021,40,10,690
2021,40,11,843
2021,40,12,807
2021,40,13,748
2021,40,14,1388
2021,40,15,594
2021,40,16,1054
2021,40,17,376
2021,40,18,652
2021,40,19,724
2021,40,20,1062
2021,40,21,1257
2021,40,22,743
2021,40,23,1301
2021,40,24,730
2021,40,25,1163
2021,40,26,911
2021,40,27,607
2021,40,28,929
2021,40,29,763
2021,40,30,575
2021,40,31,729
2021,40,32,1038
2021,40,33,1121
2021,40,34,477
2021,40,35,532
2021,40,36,852
2021,40,37,784
2021,41,1,312
2021,41,2,212
2021,41,3,766
2021,41,4,313
2021,42,1,1000
2021,42,2,1040
2021,42,3,1218
2021,42,4,779
2021,42,5,1193
2021,43,1,750
2021,43,2,1264
2021,44,1,618
2021,45,1,874
2021,45,2,781
2021,45,3,475
2021,45,4,582
2021,45,5,922
2021,46,1,591
2021,46,2,474
2021,46,3,156
2021,46,4,540
2021,46,5,393
2021,46,6,500
2021,46,7,518
2021,46,8,468
2021,46,9,327
2021,47,1,1108
2021,47,2,597
2021,47,3,738
2021,47,4,894
2021,47,5,898
2021,48,1,1159
2021,48,2,539
2021,48,3,771
2021,48,4,461
2021,48,5,904
2021,48,6,613
2021,48,7,489
2021,49,1,776
2021,49,2,1008
2021,49,3,749
2021,49,4,1318
2021,49,5,783
2021,49,6,1191
2021,49,7,789
2021,49,8,339
2021,49,9,517
2021,50,1,156
2021,50,2,450
2021,50,3,729
2021,50,4,1053
2021,50,5,801
2021,50,6,805
2021,50,7,451
2021,50,8,299
2021,50,9,880
2021,50,10,1147
2021,50,11,496
2021,50,12,1063
2021,50,13,1193
2021,Index,N/A,1276
2022,1,1,176
2022,2,1,737
2022,3,1,932
2022,4,1,145
2022,5,1,964
2022,5,2,759
2022,5,3,1235
2022,6,1,434
2022,7,1,652
2022,7,2,607
2022,7,3,496
2022,7,4,1145
2022,7,5,488
2022,7,6,670
2022,7,7,690
2022,7,8,751
2022,7,9,287
2022,7,10,1284
2022,7,11,820
2022,7,12,626
2022,7,13,282
2022,7,14,330
2022,7,15,1175
2022,8,1,1250
2022,9,1,1083
2022,9,2,757
2022,10,1,1118
2022,10,2,930
2022,10,3,1288
2022,10,4,1131
2022,11,1,550
2022,12,1,1091
2022,12,2,692
2022,12,3,1027
2022,12,4,837
2022,12,5,764
2022,12,6,533
2022,12,7,1204
2022,12,8,769
2022,12,9,1205
2022,12,10,875
2022,13,1,938
2022,14,1,940
2022,14,2,1006
2022,14,3,964
2022,14,4,989
2022,14,5,365
2022,15,1,460
2022,15,2,1323
2022,15,3,629
2022,16,1,788
2022,16,2,983
2022,17,1,985
2022,17,2,606
2022,17,3,974
2022,17,4,868
2022,17,5,709
2022,18,1,1318
2022,18,2,377
2022,19,1,1125
2022,19,2,1039
2022,19,3,437
2022,20,1,687
2022,20,2,1399
2022,20,3,680
2022,20,4,771
2022,21,1,620
2022,21,2,774
2022,21,3,651
2022,21,4,281
2022,21,5,402
2022,21,6,680
2022,21,7,209
2022,21,8,1115
2022,21,9,358
2022,22,1,1166
2022,22,2,590
2022,23,1,815
2022,24,1,810
2022,24,2,718
2022,24,3,379
2022,24,4,830
2022,24,5,355
2022,25,1,1019
2022,25,2,508
2022,26,1,741
2022,26,2,630
2022,26,3,944
2022,26,4,1179
2022,26,5,859
2022,26,6,766
2022,26,7,720
2022,26,8,950
2022,26,9,644
2022,26,10,961
2022,26,11,1107
2022,26,12,950
2022,26,13,1131
2022,26,14,1206
2022,26,15,920
2022,26,16,814
2022,26,17,540
2022,26,18,358
2022,26,19,826
2022,26,20,1072
2022,26,21,107
2022,26,22,207
2022,27,1,1071
2022,27,2,453
2022,27,3,234
2022,28,1,1235
2022,28,2,898
2022,29,1,791
2022,29,2,297
2022,29,3,949
2022,29,4,526
2022,29,5,998
2022,29,6,732
2022,29,7,408
2022,29,8,791
2022,29,9,1413
2022,30,1,806
2022,30,2,667
2022,30,3,1001
2022,31,1,570
2022,31,2,604
2022,31,3,1141
2022,32,1,917
2022,32,2,1052
2022,32,3,373
2022,32,4,175
2022,32,5,330
2022,32,6,574
2022,33,1,751
2022,33,2,1191
2022,33,3,722
2022,34,1,600
2022,34,2,549
2022,34,3,702
2022,34,4,480
2022,36,1,548
2022,36,2,566
2022,36,3,821
2022,37,1,1084
2022,38,1,979
2022,38,2,1174
2022,39,1,584
2022,40,1,830
2022,40,2,720
2022,40,3,1365
2022,40,4,879
2022,40,5,682
2022,40,6,446
2022,40,7,688
2022,40,8,875
2022,40,9,874
2022,40,10,692
2022,40,11,843
2022,40,12,815
2022,40,13,748
2022,40,14,1388
2022,40,15,605
2022,40,16,1058
2022,40,17,376
2022,40,18,652
2022,40,19,196
2022,40,20,1058
2022,40,21,400
2022,40,22,1139
2022,40,23,1132
2022,40,24,730
2022,40,25,1136
2022,40,26,932
2022,40,27,606
2022,40,28,928
2022,40,29,778
2022,40,30,578
2022,40,31,729
2022,40,32,1037
2022,40,33,1205
2022,40,34,477
2022,40,35,532
2022,40,36,850
2022,40,37,790
2022,41,1,312
2022,41,2,212
2022,41,3,769
2022,41,4,319
2022,42,1,991
2022,42,2,1064
2022,42,3,1250
2022,42,4,779
2022,42,5,1227
2022,43,1,777
2022,43,2,1262
2022,44,1,614
2022,45,1,833
2022,45,2,822
2022,45,3,466
2022,45,4,591
2022,45,5,911
2022,46,1,591
2022,46,2,474
2022,46,3,155
2022,46,4,541
2022,46,5,393
2022,46,6,500
2022,46,7,517
2022,46,8,468
2022,46,9,325
2022,47,1,1122
2022,47,2,592
2022,47,3,758
2022,47,4,891
2022,47,5,892
2022,48,1,1173
2022,48,2,541
2022,48,3,787
2022,48,4,466
2022,48,5,886
2022,48,6,622
2022,48,7,489
2022,49,1,776
2022,49,2,1011
2022,49,3,766
2022,49,4,1318
2022,49,5,772
2022,49,6,1228
2022,49,7,785
2022,49,8,338
2022,49,9,515
2022,50,1,156
2022,50,2,458
2022,50,3,715
2022,50,4,1069
2022,50,5,859
2022,50,6,811
2022,50,7,453
2022,50,8,300
2022,50,9,890
2022,50,10,1131
2022,50,11,494
2022,50,12,1097
2022,50,13,1180
2022,Index,N/A,1289
2023,1,1,175
2023,2,1,741
2023,3,1,670
2023,4,1,145
2023,5,1,966
2023,5,2,753
2023,5,3,1235
2023,6,1,439
2023,7,1,654
2023,7,2,607
2023,7,3,498
2023,7,4,1162
2023,7,5,505
2023,7,6,673
2023,7,7,690
2023,7,8,732
2023,7,9,287
2023,7,10,1284
2023,7,11,837
2023,7,12,626
2023,7,13,281
2023,7,14,329
2023,7,15,1178
2023,8,1,1277
2023,9,1,1066
2023,9,2,737
2023,10,1,1117
2023,10,2,930
2023,10,3,1409
2023,10,4,1130
2023,11,1,550
2023,12,1,1089
2023,12,2,706
2023,12,3,1027
2023,12,4,861
2023,12,5,760
2023,12,6,542
2023,12,7,1195
2023,12,8,773
2023,12,9,1193
2023,12,10,895
2023,13,1,939
2023,14,1,942
2023,14,2,969
2023,14,3,956
2023,14,4,989
2023,14,5,362
2023,15,1,464
2023,15,2,1453
2023,15,3,643
2023,16,1,804
2023,16,2,1029
2023,17,1,985
2023,17,2,612
2023,17,3,984
2023,17,4,878
2023,17,5,711
2023,18,1,1314
2023,18,2,378
2023,19,1,1124
2023,19,2,1039
2023,19,3,443
2023,20,1,687
2023,20,2,1398
2023,20,3,694
2023,20,4,771
2023,21,1,641
2023,21,2,776
2023,21,3,654
2023,21,4,281
2023,21,5,401
2023,21,6,695
2023,21,7,209
2023,21,8,1151
2023,21,9,359
2023,22,1,1144
2023,22,2,590
2023,23,1,820
2023,24,1,824
2023,24,2,722
2023,24,3,381
2023,24,4,850
2023,24,5,355
2023,25,1,1019
2023,25,2,512
2023,26,1,753
2023,26,2,630
2023,26,3,944
2023,26,4,1179
2023,26,5,859
2023,26,6,766
2023,26,7,720
2023,26,8,950
2023,26,9,644
2023,26,10,961
2023,26,11,1121
2023,26,12,950
2023,26,13,1131
2023,26,14,1206
2023,26,15,919
2023,26,16,814
2023,26,17,540
2023,26,18,358
2023,26,19,830
2023,26,20,1091
2023,26,21,107
2023,26,22,207
2023,27,1,1085
2023,27,2,453
2023,27,3,256
2023,28,1,1235
2023,28,2,912
2023,29,1,785
2023,29,2,296
2023,29,3,948
2023,29,4,524
2023,29,5,998
2023,29,6,732
2023,29,7,408
2023,29,8,1048
2023,29,9,1192
2023,30,1,806
2023,30,2,689
2023,30,3,1000
2023,31,1,566
2023,31,2,606
2023,31,3,1248
2023,32,1,913
2023,32,2,1063
2023,32,3,367
2023,32,4,175
2023,32,5,330
2023,32,6,576
2023,33,1,757
2023,33,2,1205
2023,33,3,725
2023,34,1,597
2023,34,2,549
2023,34,3,713
2023,34,4,492
2023,36,1,548
2023,36,2,568
2023,36,3,841
2023,37,1,1084
2023,38,1,998
2023,38,2,1176
2023,39,1,594
2023,40,1,849
2023,40,2,720
2023,40,3,1445
2023,40,4,892
2023,40,5,701
2023,40,6,448
2023,40,7,740
2023,40,8,887
2023,40,9,911
2023,40,10,693
2023,40,11,843
2023,40,12,815
2023,40,13,748
2023,40,14,1390
2023,40,15,616
2023,40,16,1078
2023,40,17,374
2023,40,18,656
2023,40,19,185
2023,40,20,1057
2023,40,21,415
2023,40,22,1117
2023,40,23,1158
2023,40,24,732
2023,40,25,1141
2023,40,26,965
2023,40,27,606
2023,40,28,928
2023,40,29,783
2023,40,30,622
2023,40,31,727
2023,40,32,1040
2023,40,33,1284
2023,40,34,478
2023,40,35,533
2023,40,36,936
2023,40,37,829
2023,41,1,310
2023,41,2,212
2023,41,3,763
2023,41,4,318
2023,42,1,991
2023,42,2,1082
2023,42,3,1297
2023,42,4,784
2023,42,5,1241
2023,43,1,777
2023,43,2,1330
2023,44,1,625
2023,45,1,833
2023,45,2,824
2023,45,3,466
2023,45,4,593
2023,45,5,905
2023,46,1,591
2023,46,2,474
2023,46,3,155
2023,46,4,543
2023,46,5,393
2023,46,6,483
2023,46,7,520
2023,46,8,480
2023,46,9,325
2023,47,1,1216
2023,47,2,590
2023,47,3,776
2023,47,4,876
2023,47,5,885
2023,48,1,1174
2023,48,2,541
2023,48,3,810
2023,48,4,466
2023,48,5,931
2023,48,6,626
2023,48,7,509
2023,49,1,789
2023,49,2,1010
2023,49,3,785
2023,49,4,1317
2023,49,5,786
2023,49,6,1226
2023,49,7,784
2023,49,8,350
2023,49,9,513
2023,50,1,182
2023,50,2,481
2023,50,3,715
2023,50,4,1078
2023,50,5,948
2023,50,6,877
2023,50,7,453
2023,50,8,299
2023,50,9,893
2023,50,10,1209
2023,50,11,502
2023,50,12,1082
2023,50,13,1205
2023,Index,N/A,1305
